package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:11:30.000000000,26,1,L,A,1.0,2.0,877.0,1062.0,216.0,398.0,172.0,0,False,False,0,False,False
0 days 00:11:30.200000000,26,1,L,A,1.0,2.0,875.0,1060.0,216.0,390.0,178.0,0,False,False,0,False,False
0 days 00:11:30.400000000,26,1,L,A,1.0,2.0,846.0,1031.0,214.0,357.0,162.0,0,False,False,0,False,False
0 days 00:11:30.600000000,26,1,L,A,1.0,2.0,799.0,984.0,211.0,344.0,183.0,0,False,False,0,False,False
0 days 00:11:30.800000000,26,1,L,A,1.0,2.0,815.0,1000.0,212.0,371.0,163.0,0,False,False,0,False,False
0 days 00:11:31.000000000,26,1,L,A,1.0,2.0,884.0,1069.0,216.0,412.0,182.0,0,False,False,0,False,False
0 days 00:11:31.200000000,26,1,L,A,1.0,2.0,946.0,1131.0,220.0,450.0,171.0,0,False,False,0,False,False
0 days 00:11:31.400000000,26,1,L,A,1.0,2.0,961.0,1146.0,220.0,432.0,182.0,0,False,False,0,False,False
0 days 00:11:31.600000000,26,1,L,A,1.0,2.0,929.0,1114.0,218.0,403.0,174.0,0,False,False,0,False,False
0 days 00:11:31.800000000,26,1,L,A,1.0,2.0,893.0,1078.0,216.0,397.0,178.0,0,False,False,0,False,False
0 days 00:11:32.000000000,26,1,L,A,1.0,2.0,941.0,1126.0,220.0,473.0,173.0,0,False,False,0,False,False
0 days 00:11:32.200000000,26,1,L,A,1.0,2.0,946.0,1131.0,220.0,407.0,176.0,0,False,False,0,False,False
0 days 00:11:32.400000000,26,1,L,A,1.0,2.0,897.0,1082.0,217.0,403.0,175.0,0,False,False,0,False,False
0 days 00:11:32.600000000,26,1,L,A,1.0,2.0,905.0,1090.0,217.0,408.0,171.0,0,False,False,0,False,False
0 days 00:11:32.800000000,26,1,L,A,1.0,2.0,897.0,1082.0,217.0,401.0,185.0,0,False,False,0,False,False
0 days 00:11:33.000000000,26,1,L,A,1.0,2.0,876.0,1061.0,216.0,380.0,184.0,0,False,False,0,False,False
0 days 00:11:33.200000000,26,1,L,A,1.0,2.0,878.0,1063.0,216.0,404.0,173.0,0,False,False,0,False,False
