package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:12:46.600000000,26,2,L,D,1.0,2.0,1132.0,1554.0,263.0,477.0,182.0,0,False,False,0,False,False
0 days 00:12:46.800000000,26,2,L,D,1.0,2.0,1147.0,1569.0,264.0,446.0,175.0,0,False,False,0,False,False
0 days 00:12:47.000000000,26,2,L,D,1.0,2.0,1101.0,1523.0,261.0,421.0,180.0,0,False,False,0,False,False
0 days 00:12:47.200000000,26,2,L,D,1.0,2.0,1063.0,1485.0,258.0,390.0,183.0,0,False,False,0,False,False
0 days 00:12:47.400000000,26,2,L,D,1.0,2.0,1058.0,1480.0,258.0,397.0,180.0,0,False,False,0,False,False
0 days 00:12:47.600000000,26,2,L,D,1.0,2.0,1048.0,1470.0,258.0,393.0,183.0,0,False,False,0,False,False
0 days 00:12:47.800000000,26,2,L,D,1.0,2.0,1034.0,1456.0,257.0,383.0,162.0,0,False,False,0,False,False
0 days 00:12:48.000000000,26,2,L,D,1.0,2.0,1056.0,1478.0,258.0,417.0,175.0,0,False,False,0,False,False
0 days 00:12:48.200000000,26,2,L,D,1.0,2.0,1103.0,1525.0,261.0,431.0,178.0,0,False,False,0,False,False
0 days 00:12:48.400000000,26,2,L,D,1.0,2.0,1105.0,1527.0,261.0,399.0,171.0,0,False,False,0,False,False
0 days 00:12:48.600000000,26,2,L,D,1.0,2.0,1071.0,1493.0,259.0,389.0,176.0,0,False,False,0,False,False
0 days 00:12:48.800000000,26,2,L,D,1.0,2.0,1059.0,1481.0,259.0,411.0,173.0,0,False,False,0,False,False
0 days 00:12:49.000000000,26,2,L,D,1.0,2.0,1056.0,1478.0,258.0,401.0,166.0,0,False,False,0,False,False
0 days 00:12:49.200000000,26,2,L,D,1.0,2.0,1065.0,1487.0,258.0,432.0,176.0,0,False,False,0,False,False
0 days 00:12:49.400000000,26,2,L,D,1.0,2.0,1050.0,1472.0,257.0,425.0,178.0,0,False,False,0,False,False
0 days 00:12:49.600000000,26,2,L,D,1.0,2.0,1025.0,1447.0,256.0,391.0,169.0,0,False,False,0,False,False
0 days 00:12:49.800000000,26,2,L,D,1.0,2.0,1031.0,1453.0,257.0,391.0,180.0,0,False,False,0,False,False
0 days 00:12:50.000000000,26,2,L,D,1.0,2.0,1039.0,1461.0,257.0,403.0,170.0,0,False,False,0,False,False
0 days 00:12:50.200000000,26,2,L,D,1.0,2.0,1032.0,1454.0,257.0,397.0,174.0,0,False,False,0,False,False
0 days 00:12:50.400000000,26,2,L,D,1.0,2.0,1030.0,1452.0,257.0,398.0,174.0,0,False,False,0,False,False
0 days 00:12:50.600000000,26,2,L,D,1.0,2.0,1070.0,1492.0,259.0,421.0,173.0,0,False,False,0,False,False
0 days 00:12:50.800000000,26,2,L,D,1.0,2.0,1092.0,1514.0,261.0,405.0,174.0,0,False,False,0,False,False
0 days 00:12:51.000000000,26,2,L,D,1.0,2.0,1088.0,1510.0,260.0,434.0,174.0,0,False,False,0,False,False
0 days 00:12:51.200000000,26,2,L,D,1.0,2.0,1084.0,1506.0,259.0,405.0,170.0,0,False,False,0,False,False
0 days 00:12:51.400000000,26,2,L,D,1.0,2.0,1078.0,1500.0,259.0,419.0,171.0,0,False,False,0,False,False
0 days 00:12:51.600000000,26,2,L,D,1.0,2.0,1099.0,1521.0,260.0,430.0,175.0,0,False,False,0,False,False
0 days 00:12:51.800000000,26,2,L,D,1.0,2.0,1115.0,1537.0,262.0,418.0,172.0,0,False,False,0,False,False
0 days 00:12:52.000000000,26,2,L,D,1.0,2.0,1100.0,1522.0,261.0,418.0,169.0,0,False,False,0,False,False
0 days 00:12:52.200000000,26,2,L,D,1.0,2.0,1052.0,1474.0,258.0,365.0,173.0,0,False,False,0,False,False
0 days 00:12:52.400000000,26,2,L,D,1.0,2.0,1034.0,1456.0,257.0,389.0,171.0,0,False,False,0,False,False
0 days 00:12:52.600000000,26,2,L,D,1.0,2.0,1068.0,1490.0,259.0,412.0,179.0,0,False,False,0,False,False
0 days 00:12:52.800000000,26,2,L,D,1.0,2.0,1060.0,1482.0,259.0,381.0,171.0,0,False,False,0,False,False
0 days 00:12:53.000000000,26,2,L,D,1.0,2.0,1025.0,1447.0,257.0,391.0,178.0,0,False,False,0,False,False
0 days 00:12:53.200000000,26,2,L,D,1.0,2.0,1003.0,1425.0,255.0,380.0,168.0,0,False,False,0,False,False
0 days 00:12:53.400000000,26,2,L,D,1.0,2.0,1017.0,1439.0,256.0,400.0,169.0,0,False,False,0,False,False
0 days 00:12:53.600000000,26,2,L,D,1.0,2.0,1041.0,1463.0,258.0,385.0,171.0,0,False,False,0,False,False
0 days 00:12:53.800000000,26,2,L,D,1.0,2.0,1055.0,1477.0,258.0,425.0,178.0,0,False,False,0,False,False
0 days 00:12:54.000000000,26,2,L,D,1.0,2.0,1077.0,1499.0,259.0,433.0,180.0,0,False,False,0,False,False
0 days 00:12:54.200000000,26,2,L,D,1.0,2.0,1098.0,1520.0,261.0,428.0,169.0,0,False,False,0,False,False
0 days 00:12:54.400000000,26,2,L,D,1.0,2.0,1104.0,1526.0,261.0,426.0,178.0,0,False,False,0,False,False
0 days 00:12:54.600000000,26,2,L,D,1.0,2.0,1067.0,1489.0,259.0,396.0,174.0,0,False,False,0,False,False
0 days 00:12:54.800000000,26,2,L,D,1.0,2.0,1053.0,1475.0,258.0,417.0,180.0,0,False,False,0,False,False
0 days 00:12:55.000000000,26,2,L,D,1.0,2.0,1042.0,1464.0,258.0,380.0,173.0,0,False,False,0,False,False
0 days 00:12:55.200000000,26,2,L,D,1.0,2.0,1052.0,1474.0,259.0,420.0,168.0,0,False,False,0,False,False
0 days 00:12:55.400000000,26,2,L,D,1.0,2.0,1064.0,1486.0,258.0,389.0,167.0,0,False,False,0,False,False
0 days 00:12:55.600000000,26,2,L,D,1.0,2.0,1046.0,1468.0,258.0,390.0,167.0,0,False,False,0,False,False
0 days 00:12:55.800000000,26,2,L,D,1.0,2.0,1058.0,1480.0,259.0,399.0,168.0,0,False,False,0,False,False
0 days 00:12:56.000000000,26,2,L,D,1.0,2.0,1071.0,1493.0,260.0,413.0,173.0,0,False,False,0,False,False
0 days 00:12:56.200000000,26,2,L,D,1.0,2.0,1092.0,1514.0,260.0,435.0,174.0,0,False,False,0,False,False
0 days 00:12:56.400000000,26,2,L,D,1.0,2.0,1077.0,1499.0,259.0,394.0,171.0,0,False,False,0,False,False
0 days 00:12:56.600000000,26,2,L,D,1.0,2.0,1044.0,1466.0,258.0,405.0,171.0,0,False,False,0,False,False
0 days 00:12:56.800000000,26,2,L,D,1.0,2.0,1101.0,1523.0,261.0,457.0,188.0,0,False,False,0,False,False
0 days 00:12:57.000000000,26,2,L,D,1.0,2.0,1119.0,1541.0,262.0,420.0,176.0,0,False,False,0,False,False
0 days 00:12:57.200000000,26,2,L,D,1.0,2.0,1051.0,1473.0,258.0,379.0,183.0,0,False,False,0,False,False
0 days 00:12:57.400000000,26,2,L,D,1.0,2.0,1028.0,1450.0,257.0,406.0,162.0,0,False,False,0,False,False
0 days 00:12:57.600000000,26,2,L,D,1.0,2.0,1049.0,1471.0,258.0,398.0,172.0,0,False,False,0,False,False
0 days 00:12:57.800000000,26,2,L,D,1.0,2.0,1046.0,1468.0,258.0,395.0,168.0,0,False,False,0,False,False
0 days 00:12:58.000000000,26,2,L,D,1.0,2.0,1027.0,1449.0,257.0,382.0,168.0,0,False,False,0,False,False
0 days 00:12:58.200000000,26,2,L,D,1.0,2.0,1023.0,1445.0,257.0,398.0,180.0,0,False,False,0,False,False
0 days 00:12:58.400000000,26,2,L,D,1.0,2.0,1045.0,1467.0,258.0,411.0,178.0,0,False,False,0,False,False
0 days 00:12:58.600000000,26,2,L,D,1.0,2.0,1095.0,1517.0,261.0,439.0,180.0,0,False,False,0,False,False
0 days 00:12:58.800000000,26,2,L,D,1.0,2.0,1122.0,1544.0,262.0,447.0,185.0,0,False,False,0,False,False
0 days 00:12:59.000000000,26,2,L,D,1.0,2.0,1104.0,1526.0,261.0,426.0,174.0,0,False,False,0,False,False
0 days 00:12:59.200000000,26,2,L,D,1.0,2.0,1089.0,1511.0,260.0,408.0,174.0,0,False,False,0,False,False
0 days 00:12:59.400000000,26,2,L,D,1.0,2.0,1110.0,1532.0,262.0,428.0,184.0,0,False,False,0,False,False
0 days 00:12:59.600000000,26,2,L,D,1.0,2.0,1104.0,1526.0,261.0,420.0,177.0,0,False,False,0,False,False
0 days 00:12:59.800000000,26,2,L,D,1.0,2.0,1082.0,1504.0,259.0,415.0,178.0,0,False,False,0,False,False
0 days 00:13:00.000000000,26,2,L,D,1.0,2.0,1089.0,1511.0,260.0,417.0,176.0,0,False,False,0,False,False
0 days 00:13:00.200000000,26,2,L,D,1.0,2.0,1095.0,1517.0,260.0,428.0,182.0,0,False,False,0,False,False
0 days 00:13:00.400000000,26,2,L,D,1.0,2.0,1084.0,1506.0,260.0,408.0,176.0,0,False,False,0,False,False
0 days 00:13:00.600000000,26,2,L,D,1.0,2.0,1065.0,1487.0,259.0,414.0,184.0,0,False,False,0,False,False
0 days 00:13:00.800000000,26,2,L,D,1.0,2.0,1109.0,1531.0,262.0,452.0,179.0,0,False,False,0,False,False
0 days 00:13:01.000000000,26,2,L,D,1.0,2.0,1133.0,1555.0,263.0,423.0,173.0,0,False,False,0,False,False
0 days 00:13:01.200000000,26,2,L,D,1.0,2.0,1096.0,1518.0,261.0,410.0,182.0,0,False,False,0,False,False
0 days 00:13:01.400000000,26,2,L,D,1.0,2.0,1066.0,1488.0,259.0,411.0,183.0,0,False,False,0,False,False
0 days 00:13:01.600000000,26,2,L,D,1.0,2.0,1054.0,1476.0,258.0,394.0,184.0,0,False,False,0,False,False
0 days 00:13:01.800000000,26,2,L,D,1.0,2.0,1066.0,1488.0,258.0,405.0,172.0,0,False,False,0,False,False
0 days 00:13:02.000000000,26,2,L,D,1.0,2.0,1077.0,1499.0,259.0,429.0,181.0,0,False,False,0,False,False
0 days 00:13:02.200000000,26,2,L,D,1.0,2.0,1054.0,1476.0,258.0,392.0,181.0,0,False,False,0,False,False
0 days 00:13:02.400000000,26,2,L,D,1.0,2.0,1024.0,1446.0,256.0,391.0,176.0,0,False,False,0,False,False
0 days 00:13:02.600000000,26,2,L,D,1.0,2.0,1033.0,1455.0,256.0,402.0,179.0,0,False,False,0,False,False
0 days 00:13:02.800000000,26,2,L,D,1.0,2.0,1036.0,1458.0,257.0,372.0,172.0,0,False,False,0,False,False
0 days 00:13:03.000000000,26,2,L,D,1.0,2.0,1011.0,1433.0,255.0,375.0,174.0,0,False,False,0,False,False
0 days 00:13:03.200000000,26,2,L,D,1.0,2.0,1031.0,1453.0,256.0,396.0,182.0,0,False,False,0,False,False
0 days 00:13:03.400000000,26,2,L,D,1.0,2.0,1069.0,1491.0,259.0,402.0,175.0,0,False,False,0,False,False
0 days 00:13:03.600000000,26,2,L,D,1.0,2.0,1080.0,1502.0,259.0,420.0,180.0,0,False,False,0,False,False
0 days 00:13:03.800000000,26,2,L,D,1.0,2.0,1064.0,1486.0,258.0,400.0,175.0,0,False,False,0,False,False
0 days 00:13:04.000000000,26,2,L,D,1.0,2.0,1051.0,1473.0,257.0,399.0,174.0,0,False,False,0,False,False
0 days 00:13:04.200000000,26,2,L,D,1.0,2.0,1050.0,1472.0,258.0,412.0,178.0,0,False,False,0,False,False
0 days 00:13:04.400000000,26,2,L,D,1.0,2.0,1042.0,1464.0,258.0,402.0,183.0,0,False,False,0,False,False
0 days 00:13:04.600000000,26,2,L,D,1.0,2.0,1041.0,1463.0,257.0,396.0,180.0,0,False,False,0,False,False
0 days 00:13:04.800000000,26,2,L,D,1.0,2.0,1032.0,1454.0,256.0,399.0,171.0,0,False,False,0,False,False
0 days 00:13:05.000000000,26,2,L,D,1.0,2.0,1024.0,1446.0,256.0,381.0,164.0,0,False,False,0,False,False
0 days 00:13:05.200000000,26,2,L,D,1.0,2.0,1015.0,1437.0,256.0,381.0,183.0,0,False,False,0,False,False
0 days 00:13:05.400000000,26,2,L,D,1.0,2.0,1019.0,1441.0,256.0,396.0,175.0,0,False,False,0,False,False
0 days 00:13:05.600000000,26,2,L,D,1.0,2.0,1029.0,1451.0,256.0,398.0,165.0,0,False,False,0,False,False
0 days 00:13:05.800000000,26,2,L,D,1.0,2.0,1046.0,1468.0,257.0,411.0,170.0,0,False,False,0,False,False
0 days 00:13:06.000000000,26,2,L,D,1.0,2.0,1064.0,1486.0,259.0,402.0,167.0,0,False,False,0,False,False
0 days 00:13:06.200000000,26,2,L,D,1.0,2.0,1052.0,1474.0,258.0,400.0,169.0,0,False,False,0,False,False
0 days 00:13:06.400000000,26,2,L,D,1.0,2.0,1046.0,1468.0,258.0,415.0,176.0,0,False,False,0,False,False
0 days 00:13:06.600000000,26,2,L,D,1.0,2.0,1061.0,1483.0,259.0,418.0,174.0,0,False,False,0,False,False
0 days 00:13:06.800000000,26,2,L,D,1.0,2.0,1031.0,1453.0,257.0,370.0,172.0,0,False,False,0,False,False
0 days 00:13:07.000000000,26,2,L,D,1.0,2.0,1031.0,1453.0,257.0,419.0,166.0,0,False,False,0,False,False
0 days 00:13:07.200000000,26,2,L,D,1.0,2.0,1050.0,1472.0,257.0,387.0,180.0,0,False,False,0,False,False
0 days 00:13:07.400000000,26,2,L,D,1.0,2.0,1020.0,1442.0,256.0,377.0,181.0,0,False,False,0,False,False
0 days 00:13:07.600000000,26,2,L,D,1.0,2.0,1001.0,1423.0,255.0,383.0,174.0,0,False,False,0,False,False
0 days 00:13:07.800000000,26,2,L,D,1.0,2.0,1007.0,1429.0,255.0,402.0,174.0,0,False,False,0,False,False
0 days 00:13:08.000000000,26,2,L,D,1.0,2.0,1027.0,1449.0,256.0,407.0,179.0,0,False,False,0,False,False
0 days 00:13:08.200000000,26,2,L,D,1.0,2.0,1033.0,1455.0,257.0,376.0,171.0,0,False,False,0,False,False
0 days 00:13:08.400000000,26,2,L,D,1.0,2.0,1052.0,1474.0,258.0,398.0,175.0,0,False,False,0,False,False
0 days 00:13:08.600000000,26,2,L,D,1.0,2.0,1078.0,1500.0,260.0,417.0,171.0,0,False,False,0,False,False
0 days 00:13:08.800000000,26,2,L,D,1.0,2.0,1082.0,1504.0,260.0,423.0,183.0,0,False,False,0,False,False
0 days 00:13:09.000000000,26,2,L,D,1.0,2.0,1096.0,1518.0,260.0,428.0,179.0,0,False,False,0,False,False
0 days 00:13:09.200000000,26,2,L,D,1.0,2.0,1097.0,1519.0,260.0,424.0,184.0,0,False,False,0,False,False
0 days 00:13:09.400000000,26,2,L,D,1.0,2.0,1083.0,1505.0,259.0,411.0,178.0,0,False,False,0,False,False
0 days 00:13:09.600000000,26,2,L,D,1.0,2.0,1099.0,1521.0,260.0,420.0,176.0,0,False,False,0,False,False
0 days 00:13:09.800000000,26,2,L,D,1.0,2.0,1072.0,1494.0,259.0,375.0,174.0,0,False,False,0,False,False
0 days 00:13:10.000000000,26,2,L,D,1.0,2.0,1029.0,1451.0,256.0,411.0,178.0,0,False,False,0,False,False
0 days 00:13:10.200000000,26,2,L,D,1.0,2.0,1014.0,1436.0,255.0,379.0,167.0,0,False,False,0,False,False
0 days 00:13:10.400000000,26,2,L,D,1.0,2.0,1013.0,1435.0,255.0,396.0,176.0,0,False,False,0,False,False
0 days 00:13:10.600000000,26,2,L,D,1.0,2.0,1014.0,1436.0,255.0,369.0,173.0,0,False,False,0,False,False
0 days 00:13:10.800000000,26,2,L,D,1.0,2.0,1011.0,1433.0,255.0,382.0,172.0,0,False,False,0,False,False
0 days 00:13:11.000000000,26,2,L,D,1.0,2.0,1028.0,1450.0,257.0,391.0,180.0,0,False,False,0,False,False
0 days 00:13:11.200000000,26,2,L,D,1.0,2.0,1039.0,1461.0,257.0,382.0,169.0,0,False,False,0,False,False
0 days 00:13:11.400000000,26,2,L,D,1.0,2.0,1025.0,1447.0,256.0,381.0,171.0,0,False,False,0,False,False
0 days 00:13:11.600000000,26,2,L,D,1.0,2.0,1018.0,1440.0,255.0,397.0,169.0,0,False,False,0,False,False
0 days 00:13:11.800000000,26,2,L,D,1.0,2.0,1023.0,1445.0,256.0,377.0,182.0,0,False,False,0,False,False
0 days 00:13:12.000000000,26,2,L,D,1.0,2.0,1026.0,1448.0,256.0,399.0,169.0,0,False,False,0,False,False
0 days 00:13:12.200000000,26,2,L,D,1.0,2.0,1052.0,1474.0,258.0,429.0,171.0,0,False,False,0,False,False
0 days 00:13:12.400000000,26,2,L,D,1.0,2.0,1044.0,1466.0,258.0,407.0,172.0,0,False,False,0,False,False
0 days 00:13:12.600000000,26,2,L,D,1.0,2.0,1003.0,1425.0,255.0,381.0,169.0,0,False,False,0,False,False
0 days 00:13:12.800000000,26,2,L,D,1.0,2.0,997.0,1419.0,254.0,390.0,170.0,0,False,False,0,False,False
0 days 00:13:13.000000000,26,2,L,D,1.0,2.0,1007.0,1429.0,255.0,372.0,169.0,0,False,False,0,False,False
0 days 00:13:13.200000000,26,2,L,D,1.0,2.0,999.0,1421.0,255.0,361.0,175.0,0,False,False,0,False,False
0 days 00:13:13.400000000,26,2,L,D,1.0,2.0,990.0,1412.0,254.0,377.0,174.0,0,False,False,0,False,False
0 days 00:13:13.600000000,26,2,L,D,1.0,2.0,1016.0,1438.0,256.0,404.0,169.0,0,False,False,0,False,False
0 days 00:13:13.800000000,26,2,L,D,1.0,2.0,1054.0,1476.0,258.0,411.0,173.0,0,False,False,0,False,False
0 days 00:13:14.000000000,26,2,L,D,1.0,2.0,1068.0,1490.0,259.0,403.0,176.0,0,False,False,0,False,False
0 days 00:13:14.200000000,26,2,L,D,1.0,2.0,1072.0,1494.0,259.0,406.0,180.0,0,False,False,0,False,False
0 days 00:13:14.400000000,26,2,L,D,1.0,2.0,1047.0,1469.0,258.0,380.0,169.0,0,False,False,0,False,False
0 days 00:13:14.600000000,26,2,L,D,1.0,2.0,1040.0,1462.0,257.0,407.0,169.0,0,False,False,0,False,False
0 days 00:13:14.800000000,26,2,L,D,1.0,2.0,1051.0,1473.0,257.0,396.0,174.0,0,False,False,0,False,False
0 days 00:13:15.000000000,26,2,L,D,1.0,2.0,1023.0,1445.0,255.0,393.0,169.0,0,False,False,0,False,False
0 days 00:13:15.200000000,26,2,L,D,1.0,2.0,969.0,1391.0,253.0,343.0,151.0,0,False,False,0,False,False
0 days 00:13:15.400000000,26,2,L,D,1.0,2.0,936.0,1358.0,251.0,366.0,163.0,0,False,False,0,False,False
0 days 00:13:15.600000000,26,2,L,D,1.0,2.0,956.0,1378.0,252.0,368.0,176.0,0,False,False,0,False,False
0 days 00:13:15.800000000,26,2,L,D,1.0,2.0,958.0,1380.0,252.0,359.0,172.0,0,False,False,0,False,False
0 days 00:13:16.000000000,26,2,L,D,1.0,2.0,955.0,1377.0,252.0,358.0,161.0,0,False,False,0,False,False
0 days 00:13:16.200000000,26,2,L,D,1.0,2.0,971.0,1393.0,253.0,364.0,174.0,0,False,False,0,False,False
0 days 00:13:16.400000000,26,2,L,D,1.0,2.0,993.0,1415.0,254.0,386.0,166.0,0,False,False,0,False,False
0 days 00:13:16.600000000,26,2,L,D,1.0,2.0,1018.0,1440.0,255.0,393.0,180.0,0,False,False,0,False,False
0 days 00:13:16.800000000,26,2,L,D,1.0,2.0,1024.0,1446.0,256.0,400.0,181.0,0,False,False,0,False,False
0 days 00:13:17.000000000,26,2,L,D,1.0,2.0,1018.0,1440.0,255.0,381.0,171.0,0,False,False,0,False,False
0 days 00:13:17.200000000,26,2,L,D,1.0,2.0,1037.0,1459.0,257.0,413.0,170.0,0,False,False,0,False,False
0 days 00:13:17.400000000,26,2,L,D,1.0,2.0,1047.0,1469.0,258.0,400.0,176.0,0,False,False,0,False,False
0 days 00:13:17.600000000,26,2,L,D,1.0,2.0,1011.0,1433.0,255.0,388.0,169.0,0,False,False,0,False,False
0 days 00:13:17.800000000,26,2,L,D,1.0,2.0,961.0,1383.0,252.0,349.0,151.0,0,False,False,0,False,False
