package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:02:38.200000000,26,1,R,C,1.0,2.0,967.0,1448.0,278.0,420.0,186.0,0,False,False,0,False,False
0 days 00:02:38.400000000,26,1,R,C,1.0,2.0,978.0,1459.0,279.0,442.0,187.0,0,False,False,0,False,False
0 days 00:02:38.600000000,26,1,R,C,1.0,2.0,980.0,1461.0,279.0,424.0,174.0,0,False,False,0,False,False
0 days 00:02:38.800000000,26,1,R,C,1.0,2.0,1022.0,1503.0,281.0,504.0,179.0,0,False,False,0,False,False
0 days 00:02:39.000000000,26,1,R,C,1.0,2.0,1035.0,1516.0,281.0,452.0,183.0,0,False,False,0,False,False
0 days 00:02:39.200000000,26,1,R,C,1.0,2.0,1002.0,1483.0,279.0,466.0,185.0,0,False,False,0,False,False
0 days 00:02:39.400000000,26,1,R,C,1.0,2.0,996.0,1477.0,279.0,445.0,175.0,0,False,False,0,False,False
0 days 00:02:39.600000000,26,1,R,C,1.0,2.0,996.0,1477.0,279.0,469.0,175.0,0,False,False,0,False,False
0 days 00:02:39.800000000,26,1,R,C,1.0,2.0,983.0,1464.0,278.0,429.0,179.0,0,False,False,0,False,False
0 days 00:02:40.000000000,26,1,R,C,1.0,2.0,926.0,1407.0,276.0,393.0,180.0,0,False,False,0,False,False
0 days 00:02:40.200000000,26,1,R,C,1.0,2.0,930.0,1411.0,275.0,440.0,178.0,0,False,False,0,False,False
0 days 00:02:40.400000000,26,1,R,C,1.0,2.0,972.0,1453.0,278.0,449.0,174.0,0,False,False,0,False,False
0 days 00:02:40.600000000,26,1,R,C,1.0,2.0,985.0,1466.0,278.0,446.0,178.0,0,False,False,0,False,False
0 days 00:02:40.800000000,26,1,R,C,1.0,2.0,985.0,1466.0,278.0,433.0,180.0,0,False,False,0,False,False
0 days 00:02:41.000000000,26,1,R,C,1.0,2.0,977.0,1458.0,278.0,435.0,180.0,0,False,False,0,False,False
0 days 00:02:41.200000000,26,1,R,C,1.0,2.0,973.0,1454.0,278.0,433.0,184.0,0,False,False,0,False,False
0 days 00:02:41.400000000,26,1,R,C,1.0,2.0,1004.0,1485.0,280.0,468.0,180.0,0,False,False,0,False,False
0 days 00:02:41.600000000,26,1,R,C,1.0,2.0,1010.0,1491.0,280.0,447.0,180.0,0,False,False,0,False,False
0 days 00:02:41.800000000,26,1,R,C,1.0,2.0,1000.0,1481.0,280.0,442.0,182.0,0,False,False,0,False,False
0 days 00:02:42.000000000,26,1,R,C,1.0,2.0,992.0,1473.0,280.0,436.0,174.0,0,False,False,0,False,False
0 days 00:02:42.200000000,26,1,R,C,1.0,2.0,967.0,1448.0,278.0,423.0,178.0,0,False,False,0,False,False
0 days 00:02:42.400000000,26,1,R,C,1.0,2.0,971.0,1452.0,278.0,443.0,181.0,0,False,False,0,False,False
0 days 00:02:42.600000000,26,1,R,C,1.0,2.0,991.0,1472.0,279.0,461.0,181.0,0,False,False,0,False,False
