package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,2,R,B,1.0,2.0,1401.0,1213.0,99.0,501.0,189.0,0,False,False,0,False,False
0 days 00:00:00.200000000,26,2,R,B,1.0,2.0,1406.0,1218.0,99.0,517.0,181.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,2,R,B,1.0,2.0,1379.0,1191.0,98.0,475.0,182.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,2,R,B,1.0,2.0,1318.0,1130.0,96.0,462.0,179.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,2,R,B,1.0,2.0,1291.0,1103.0,94.0,458.0,188.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,2,R,B,1.0,2.0,1326.0,1138.0,96.0,528.0,185.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,2,R,B,1.0,2.0,1269.0,1081.0,94.0,422.0,175.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,2,R,B,1.0,2.0,1203.0,1015.0,91.0,447.0,186.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,2,R,B,1.0,2.0,1259.0,1071.0,92.0,472.0,178.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,2,R,B,1.0,2.0,1274.0,1086.0,94.0,458.0,178.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,2,R,B,1.0,2.0,1238.0,1050.0,93.0,432.0,174.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,2,R,B,1.0,2.0,1212.0,1024.0,93.0,418.0,168.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,2,R,B,1.0,2.0,1260.0,1072.0,95.0,473.0,182.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,2,R,B,1.0,2.0,1311.0,1123.0,97.0,478.0,176.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,2,R,B,1.0,2.0,1332.0,1144.0,97.0,514.0,175.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,2,R,B,1.0,2.0,1344.0,1156.0,98.0,490.0,176.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,2,R,B,1.0,2.0,1333.0,1145.0,98.0,486.0,174.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,2,R,B,1.0,2.0,1343.0,1155.0,98.0,491.0,178.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,2,R,B,1.0,2.0,1352.0,1164.0,99.0,498.0,173.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,2,R,B,1.0,2.0,1277.0,1089.0,96.0,439.0,168.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,2,R,B,1.0,2.0,1230.0,1042.0,94.0,472.0,178.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,2,R,B,1.0,2.0,1277.0,1089.0,95.0,468.0,174.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,2,R,B,1.0,2.0,1294.0,1106.0,96.0,446.0,189.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,2,R,B,1.0,2.0,1277.0,1089.0,96.0,445.0,180.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,2,R,B,1.0,2.0,1267.0,1079.0,95.0,481.0,180.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,2,R,B,1.0,2.0,1285.0,1097.0,95.0,454.0,166.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,2,R,B,1.0,2.0,1315.0,1127.0,96.0,502.0,175.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,2,R,B,1.0,2.0,1317.0,1129.0,96.0,490.0,180.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,2,R,B,1.0,2.0,1276.0,1088.0,95.0,447.0,183.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,2,R,B,1.0,2.0,1247.0,1059.0,95.0,467.0,168.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,2,R,B,1.0,2.0,1255.0,1067.0,95.0,456.0,171.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,2,R,B,1.0,2.0,1256.0,1068.0,95.0,448.0,165.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,2,R,B,1.0,2.0,1181.0,993.0,93.0,406.0,174.0,0,False,False,0,False,False
0 days 00:00:06.600000000,26,2,R,B,1.0,2.0,1167.0,979.0,92.0,429.0,178.0,0,False,False,0,False,False
0 days 00:00:06.800000000,26,2,R,B,1.0,2.0,1212.0,1024.0,94.0,428.0,167.0,0,False,False,0,False,False
0 days 00:00:07.000000000,26,2,R,B,1.0,2.0,1214.0,1026.0,94.0,438.0,182.0,0,False,False,0,False,False
