package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:02:29.400000000,26,1,R,B,1.0,2.0,866.0,1226.0,-124.0,462.0,180.0,0,False,False,0,False,False
0 days 00:02:29.600000000,26,1,R,B,1.0,2.0,905.0,1265.0,-122.0,445.0,180.0,0,False,False,0,False,False
0 days 00:02:29.800000000,26,1,R,B,1.0,2.0,889.0,1249.0,-122.0,418.0,182.0,0,False,False,0,False,False
0 days 00:02:30.000000000,26,1,R,B,1.0,2.0,836.0,1196.0,-126.0,402.0,175.0,0,False,False,0,False,False
0 days 00:02:30.200000000,26,1,R,B,1.0,2.0,772.0,1132.0,-131.0,355.0,184.0,0,False,False,0,False,False
0 days 00:02:30.400000000,26,1,R,B,1.0,2.0,730.0,1090.0,-134.0,359.0,170.0,0,False,False,0,False,False
0 days 00:02:30.600000000,26,1,R,B,1.0,2.0,743.0,1103.0,-132.0,361.0,181.0,0,False,False,0,False,False
0 days 00:02:30.800000000,26,1,R,B,1.0,2.0,772.0,1132.0,-130.0,396.0,172.0,0,False,False,0,False,False
0 days 00:02:31.000000000,26,1,R,B,1.0,2.0,728.0,1088.0,-134.0,340.0,167.0,0,False,False,0,False,False
0 days 00:02:31.200000000,26,1,R,B,1.0,2.0,679.0,1039.0,-137.0,343.0,173.0,0,False,False,0,False,False
0 days 00:02:31.400000000,26,1,R,B,1.0,2.0,712.0,1072.0,-135.0,364.0,179.0,0,False,False,0,False,False
0 days 00:02:31.600000000,26,1,R,B,1.0,2.0,753.0,1113.0,-132.0,379.0,181.0,0,False,False,0,False,False
0 days 00:02:31.800000000,26,1,R,B,1.0,2.0,783.0,1143.0,-130.0,389.0,184.0,0,False,False,0,False,False
0 days 00:02:32.000000000,26,1,R,B,1.0,2.0,820.0,1180.0,-127.0,432.0,182.0,0,False,False,0,False,False
0 days 00:02:32.200000000,26,1,R,B,1.0,2.0,851.0,1211.0,-126.0,424.0,187.0,0,False,False,0,False,False
0 days 00:02:32.400000000,26,1,R,B,1.0,2.0,825.0,1185.0,-128.0,386.0,181.0,0,False,False,0,False,False
0 days 00:02:32.600000000,26,1,R,B,1.0,2.0,771.0,1131.0,-131.0,375.0,169.0,0,False,False,0,False,False
