package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,R,B,1.0,2.0,814.0,1174.0,-126.0,408.0,178.0,0,False,False,0,False,False
0 days 00:00:00.200000000,26,1,R,B,1.0,2.0,830.0,1190.0,-125.0,372.0,178.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,R,B,1.0,2.0,835.0,1195.0,-125.0,393.0,182.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,R,B,1.0,2.0,894.0,1254.0,-121.0,450.0,185.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,R,B,1.0,2.0,936.0,1296.0,-117.0,446.0,180.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,R,B,1.0,2.0,933.0,1293.0,-118.0,438.0,182.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,R,B,1.0,2.0,966.0,1326.0,-116.0,483.0,182.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,R,B,1.0,2.0,988.0,1348.0,-114.0,473.0,181.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,R,B,1.0,2.0,952.0,1312.0,-117.0,434.0,179.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,R,B,1.0,2.0,903.0,1263.0,-120.0,406.0,182.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,R,B,1.0,2.0,857.0,1217.0,-123.0,391.0,179.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,R,B,1.0,2.0,842.0,1202.0,-124.0,396.0,179.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,R,B,1.0,2.0,818.0,1178.0,-125.0,369.0,178.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,R,B,1.0,2.0,834.0,1194.0,-124.0,417.0,185.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,R,B,1.0,2.0,818.0,1178.0,-126.0,345.0,185.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,1,R,B,1.0,2.0,784.0,1144.0,-128.0,377.0,167.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,1,R,B,1.0,2.0,834.0,1194.0,-124.0,402.0,185.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,1,R,B,1.0,2.0,857.0,1217.0,-123.0,418.0,180.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,1,R,B,1.0,2.0,847.0,1207.0,-123.0,397.0,174.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,1,R,B,1.0,2.0,847.0,1207.0,-124.0,395.0,174.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,1,R,B,1.0,2.0,849.0,1209.0,-123.0,402.0,180.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,1,R,B,1.0,2.0,835.0,1195.0,-124.0,400.0,167.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,1,R,B,1.0,2.0,804.0,1164.0,-126.0,378.0,171.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,1,R,B,1.0,2.0,782.0,1142.0,-128.0,364.0,183.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,1,R,B,1.0,2.0,792.0,1152.0,-127.0,378.0,173.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,1,R,B,1.0,2.0,792.0,1152.0,-127.0,361.0,181.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,1,R,B,1.0,2.0,791.0,1151.0,-127.0,373.0,181.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,1,R,B,1.0,2.0,750.0,1110.0,-129.0,336.0,165.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,1,R,B,1.0,2.0,737.0,1097.0,-130.0,363.0,181.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,1,R,B,1.0,2.0,803.0,1163.0,-126.0,393.0,185.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,1,R,B,1.0,2.0,858.0,1218.0,-123.0,418.0,189.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,1,R,B,1.0,2.0,923.0,1283.0,-118.0,478.0,172.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,1,R,B,1.0,2.0,935.0,1295.0,-117.0,434.0,183.0,0,False,False,0,False,False
